owner	uri	title	earliestDate	material	diameter	weight	orientation	location	image-front-path	image-back-pathrecord-owner
DE-15 Universitätsbibliothek Leipzig	5	5	5	5	5	5	5	5	5	5	5
DE-68 Schleswig-Holsteinische Landesbibliothek	1	1	1	1	1	1	1	0	0	0	0
DE-MUS-044822 Friedrich-Schiller-Universität: Orientalisches Münzkabinett	1469	1469	1443	1443	1443	1441	1469	1441	1	11
DE-MUS-059418 Archäologisches Museum Hamburg Stadtmuseum Harburg | Helms-Museum	2586	2586	2586	2586	2586	0	2586	0	0	00
DE-MUS-062622 Münzkabinett der Universität Göttingen	4501	4501	4501	4501	4499	385	4501	385	0	0	0
DE-MUS-099114 Staatliche Münzsammlung München	548	548	548	548	548	544	548	544	510	510	478
DE-MUS-104627 Orientalische Münzsammlung der Deutschen Morgenländischen Gesellschaft	156	156	155	155	155	155	156	155	16	16	16
DE-MUS-163517 Niedersächsisches Landesmuseum Hannover	1004	1004	1004	1004	1004	976	1004	976	1	1	1
DE-MUS-805310 Stiftung Moritzburg+Kunstmuseum des Landes Sachsen-Anhalt	5	5	5	5	5	4	5	4	0	0	0
DE-MUS-805518 Stiftung Moritzburg+Kunstmuseum des Landes Sachsen-Anhalt	2246	2246	2243	2243	2233	2181	2246	2171	3	3	3
